entity,address,label,n_transactions,block_height_max-min,fee_mean,fee_median,fee_std,fee_min,fee_max,fee_max-min,size_mean,size_median,size_std,size_min,size_max,weight_mean,weight_median,weight_std,weight_min,weight_max,vin_sz_mean,vin_sz_median,vin_sz_std,vin_sz_min,vin_sz_max,vout_sz_mean,vout_sz_median,vout_sz_std,vout_sz_min,vout_sz_max,inputsAmount_mean,inputsAmount_median,inputsAmount_std,inputsAmount_min,inputsAmount_max,outputsAmount_mean,outputsAmount_median,outputsAmount_std,outputsAmount_min,outputsAmount_max
AgoraMarket,1J3BDU4wHgxk5bHky8EiDnptX39dYgdDGj,darknet,5.0,1929.0,155142.0,10000.0,285310.2884,10000.0,725710.0,715710.0,14556.4,373.0,28267.1543,225.0,71089.0,58225.6,1492.0,113068.6172,900.0,284356.0,95.8,2.0,187.6032,1.0,471.0,6.6,2.0,6.9742,2.0,20.0,1966139924.6,1045637163.0,1558851121.7729,865476070.0,5000000000.0,1965984782.6,1045627163.0,1558953417.9486,864750360.0,4999990000.0
AgoraMarket,1KCUVM7LiLXTrB1D1inCgJ64HvCkbY8YJj,darknet,5.0,2551.0,14368.0,13360.0,3764.8607,10000.0,20280.0,10280.0,899.2,1112.0,456.2663,225.0,1394.0,3596.8,4448.0,1825.0653,900.0,5576.0,4.0,5.0,2.5298,1.0,7.0,8.8,10.0,6.3687,2.0,19.0,1989153904.4,1018175486.0,1587997492.3587,722452344.0,5000000000.0,1989139536.4,1018162126.0,1587998695.7623,722441044.0,4999990000.0
AgoraMarket,1Q6AKwGBCYDvgnwwdRJ5XoYceAGHsYUQkM,darknet,8.0,11619.0,50784.125,39620.0,35224.5379,10000.0,100000.0,90000.0,1423.625,458.5,1512.834,226.0,4409.0,5694.5,1834.0,6051.336,904.0,17636.0,8.375,2.0,9.2862,1.0,25.0,4.75,2.0,5.6292,2.0,19.0,823396074.5,851016456.0,497698940.8328,6800000.0,1467741244.0,823345290.375,850988786.0,497704647.4682,6700000.0,1467661031.0
AgoraMarket,1JKGGWqoz9tPfDsKebWqX4PHv7UgHBi2uY,darknet,6.0,2008.0,17928.3333,15225.0,9343.0552,10000.0,37120.0,27120.0,1047.0,344.5,1241.1828,226.0,3650.0,4188.0,1378.0,4964.7311,904.0,14600.0,5.5,1.0,7.3881,1.0,21.0,6.0,4.5,4.5826,2.0,15.0,1670309786.0,1151365644.5,1103741118.7454,655069430.0,3907677125.0,1670291857.6667,1151340634.5,1103745988.1906,655049430.0,3907667125.0
AgoraMarket,1CQGh55M7KWke8Xv8FwShMEExbeG7ojghn,darknet,19.0,95276.0,25780.2632,10000.0,34531.6407,10000.0,150000.0,140000.0,1647.1579,817.0,3195.9541,225.0,14902.0,6588.6316,3268.0,12783.8164,900.0,59608.0,9.1053,4.0,19.8385,1.0,92.0,4.4211,2.0,3.8295,2.0,14.0,1060510368.0,728814776.0,1104134865.3769,40413297.0,5001150029.0,1060484587.7368,728804776.0,1104109949.6864,40403297.0,5001000029.0
AgoraMarket,1Kc9HCg1dujCS68KejEBh1BHEwrVBE8m7R,darknet,5.0,2184.0,11324.0,10990.0,1711.8481,10000.0,14630.0,4630.0,941.2,1098.0,361.0099,259.0,1311.0,3764.8,4392.0,1444.0397,1036.0,5244.0,3.6,3.0,1.9596,1.0,7.0,11.6,10.0,6.4374,3.0,19.0,1521020559.6,1074764725.0,1257360313.9216,459590101.0,3992851312.0,1521009235.6,1074753735.0,1257360842.5569,459580101.0,3992841312.0
AgoraMarket,1Nyz1xhpsxnqXA5F76uNh1hCeD5rcT4x9U,darknet,8.0,47.0,16697.5,20000.0,4267.3257,10980.0,20000.0,9020.0,552.75,299.5,389.5317,225.0,1098.0,2211.0,1198.0,1558.1268,900.0,4392.0,1.75,1.5,0.8292,1.0,3.0,8.375,2.0,8.2301,2.0,19.0,643338054.875,679449414.0,248593539.6072,185807379.0,999479444.0,643321357.375,679433919.0,248595295.9935,185787379.0,999468464.0
AgoraMarket,1EEd6ivhzSrsC6VhCYw3koJHGH3YsRVjsF,darknet,61.0,20493.0,130447.7213,17430.0,445816.7883,10000.0,3267171.0,3257171.0,6711.8033,939.0,18034.5843,225.0,98564.0,26847.2131,3756.0,72138.3372,900.0,394256.0,43.6393,5.0,120.8516,1.0,661.0,4.4262,2.0,4.091,1.0,18.0,1359288126.0164,665915973.0,3386683153.598,2750000.0,24999980000.0,1359157678.2951,665483343.0,3386661432.6158,2740000.0,24999960000.0
AgoraMarket,17Qn3TPZJ3MrpSg6qKaxZvqFCqiB99mKKE,darknet,70.0,87178.0,26779.9,10000.0,42587.5387,10000.0,270000.0,260000.0,1765.2571,572.0,3100.6033,225.0,17816.0,7061.0286,2288.0,12402.4131,900.0,71264.0,10.5714,3.0,19.7293,1.0,110.0,3.7714,2.0,4.0538,1.0,22.0,660416647.3571,424753550.0,963770404.4869,3095746.0,5001180007.0,660389867.4571,424743550.0,963742073.5658,3085746.0,5001000007.0
AgoraMarket,1CGLDbGvYukQ3u53BAateZk7E99FbQsF9Y,darknet,3.0,6790.0,8310.0,10000.0,2699.7901,4500.0,10430.0,5930.0,520.3333,294.0,369.948,225.0,1042.0,2081.3333,1176.0,1479.7922,900.0,4168.0,2.0,1.0,1.4142,1.0,4.0,6.0,4.0,4.3205,2.0,12.0,1523225250.6667,836320176.0,1096432687.9865,662780773.0,3070574803.0,1523216940.6667,836309746.0,1096431339.0461,662776273.0,3070564803.0
