entity,address,label,n_transactions,block_height_max-min,fee_mean,fee_median,fee_std,fee_min,fee_max,fee_max-min,size_mean,size_median,size_std,size_min,size_max,weight_mean,weight_median,weight_std,weight_min,weight_max,vin_sz_mean,vin_sz_median,vin_sz_std,vin_sz_min,vin_sz_max,vout_sz_mean,vout_sz_median,vout_sz_std,vout_sz_min,vout_sz_max,inputsAmount_mean,inputsAmount_median,inputsAmount_std,inputsAmount_min,inputsAmount_max,outputsAmount_mean,outputsAmount_median,outputsAmount_std,outputsAmount_min,outputsAmount_max
Huobi.com,19hx1B4pTDsBAYJJYYrj1t6bcVw1e9omuH,exchanges,15.0,105509.0,22000.0,10000.0,29709.7066,10000.0,130000.0,120000.0,1519.0667,669.0,2657.4263,192.0,11169.0,6076.2667,2676.0,10629.7052,768.0,44676.0,8.7333,4.0,14.9062,1.0,62.0,1.6667,2.0,0.4714,1.0,2.0,3068902430.2667,130483000.0,5638699104.7623,20000000.0,20294880000.0,3068880430.2667,130473000.0,5638696255.617,19990000.0,20294850000.0
Huobi.com,16vyeuwbuNz9PKPs4VqqGLsVRJ2G6uJj39,exchanges,66.0,65621.0,416969.697,105000.0,459380.2469,0.0,1000000.0,1000000.0,65574.7424,97450.0,55827.6136,226.0,149733.0,262298.9697,389800.0,223310.4544,904.0,598932.0,25.2879,1.0,70.8329,1.0,553.0,1818.0303,2860.5,1727.6636,1.0,4400.0,46640773932.697,52609055246.5,44468614109.6405,19550000.0,240001840027.0,46640356963.0,52608555246.5,44468338497.6627,19540000.0,240001000027.0
Huobi.com,12uuCfvuxeyGhWaEU1sHTbkCN7eWMT7qFp,exchanges,8.0,131328.0,7500.0,10000.0,6614.3783,0.0,20000.0,20000.0,372.125,257.0,236.4807,192.0,930.0,1488.5,1028.0,945.9227,768.0,3720.0,2.0,1.0,1.6583,1.0,6.0,1.5,1.5,0.5,1.0,2.0,1366670641.875,500000000.0,2617834127.4009,47475718.0,8280229672.0,1366663141.875,499995000.0,2617829584.7326,47465718.0,8280209672.0
Huobi.com,1NMbcRqggWu75DG5AqZtin5kecdHoDVs3b,exchanges,9.0,56328.0,14444.4444,10000.0,12570.7872,10000.0,50000.0,40000.0,623.5556,258.0,897.4013,226.0,3149.0,2494.2222,1032.0,3589.6053,904.0,12596.0,3.6667,1.0,6.1644,1.0,21.0,1.7778,2.0,0.4157,1.0,2.0,14057146737.4444,2560000000.0,28547772948.6586,566152000.0,94192933200.0,14057132293.0,2559990000.0,28547773136.3455,566142000.0,94192923200.0
Huobi.com,1DgcQFeaCQBo41oxtzUuV3caW5TNjXvhLZ,exchanges,20.0,156529.0,96500.0,50000.0,188686.91,10000.0,900000.0,890000.0,2638.4,875.0,4185.1058,226.0,17489.0,10553.6,3500.0,16740.4231,904.0,69956.0,17.35,5.5,28.343,1.0,118.0,1.85,2.0,0.3571,1.0,2.0,4427143349.6,66835002.5,10865926253.2913,1130000.0,50030900000.0,4427046849.6,66310002.5,10865948616.4647,1080000.0,50030880000.0
Huobi.com,16K4VtKNxcaNkvNvDYiiWjyn1n49irJ8Ep,exchanges,7.0,53701.0,130000.0,10000.0,289876.8211,10000.0,840000.0,830000.0,12082.1429,339.0,28513.6573,226.0,81921.0,48328.5714,1356.0,114054.6294,904.0,327684.0,81.1429,2.0,192.6488,1.0,553.0,1.8571,2.0,0.3499,1.0,2.0,34657210496.5714,206000000.0,83833226088.1524,2000000.0,240001840027.0,34657080496.5714,205990000.0,83832936216.4575,1990000.0,240001000027.0
Huobi.com,1FDpmBztMAUvR1Q4JJeb2FnA4VUxUAAtmd,exchanges,3.0,30787.0,6666.6667,10000.0,4714.0452,0.0,10000.0,10000.0,509.6667,225.0,426.8468,191.0,1113.0,2038.6667,900.0,1707.3873,764.0,4452.0,3.0,1.0,2.8284,1.0,7.0,1.6667,2.0,0.4714,1.0,2.0,10822835983.3333,56000000.0,15263602089.76,3700000.0,32408807950.0,10822829316.6667,55990000.0,15263606803.8006,3690000.0,32408807950.0
Huobi.com,1ko9cGfFxWoUMMZ3MsxuSjRHfLDNgyjr9,exchanges,361.0,147643.0,0.0,0.0,0.0,0.0,0.0,0.0,111678.87,115992.5,48686.9734,3727.0,445268.0,446715.48,463970.0,194747.8936,14908.0,1781072.0,3.16,1.0,6.8684,1.0,25.0,3294.64,3446.0,1455.9148,1.0,13107.0,25809241222.44,11739480755.5,26996367367.692,292595.0,85216467964.0,25809241222.44,11739480755.5,26996367367.692,292595.0,85216467964.0
Huobi.com,1MnkzcBw8prYASnMiJ772ApcEsn1tFtn1A,exchanges,92.0,172545.0,35217.3913,10000.0,86420.0845,0.0,530000.0,530000.0,3265.8478,782.5,6807.8922,191.0,44493.0,13063.3913,3130.0,27231.5686,764.0,177972.0,21.663,5.0,45.9672,1.0,300.0,1.5,1.5,0.5,1.0,2.0,3488301198.6848,94270000.0,16883609295.9584,5008592.0,144597358562.0,3488265981.2935,94255000.0,16883557715.0274,4988592.0,144596878562.0
Huobi.com,1CXrs7piiUdDXG1nT8jk43GWqCtPpbQbYu,exchanges,454.0,172282.0,381500.0,0.0,438833.3966,0.0,920000.0,920000.0,70669.57,85226.0,68780.6868,2570.0,445268.0,282678.28,340904.0,275122.7472,10280.0,1781072.0,15.16,20.0,12.8978,1.0,38.0,2016.05,2501.0,2059.3653,1.0,13107.0,57834068612.35,17746179666.5,79144222853.8047,30070.0,298091560764.0,57833687112.35,17746179666.5,79143913266.5528,70.0,298090700764.0
