entity,address,label,n_transactions,block_height_max-min,fee_mean,fee_median,fee_std,fee_min,fee_max,fee_max-min,size_mean,size_median,size_std,size_min,size_max,weight_mean,weight_median,weight_std,weight_min,weight_max,vin_sz_mean,vin_sz_median,vin_sz_std,vin_sz_min,vin_sz_max,vout_sz_mean,vout_sz_median,vout_sz_std,vout_sz_min,vout_sz_max,inputsAmount_mean,inputsAmount_median,inputsAmount_std,inputsAmount_min,inputsAmount_max,outputsAmount_mean,outputsAmount_median,outputsAmount_std,outputsAmount_min,outputsAmount_max
SatoshiDice.com,13FekTJqJevuSvry3rnYHqTC1tVEEZPHYU,gambling,411.0,285866.0,370860.68,325378.0,311101.0608,37300.0,1259229.0,1221929.0,2390.91,3563.0,2021.9815,371.0,16641.0,9560.37,14252.0,8086.1831,1484.0,66564.0,3.24,2.0,4.0966,1.0,32.0,56.47,101.0,66.5098,1.0,501.0,5257008740.77,244052081.0,9987117165.2465,652007.0,47348523740.0,5256637880.09,243833893.0,9986987185.5395,574157.0,47348088373.0
SatoshiDice.com,12pa3F113iSoSeGhutSwQk6WHZ7Zbs7CYQ,gambling,15.0,20192.0,25453.7333,506.0,64236.1697,168.0,209850.0,209682.0,382.8667,249.0,345.433,249.0,1399.0,1248.0667,669.0,1491.6576,669.0,5596.0,1.9333,1.0,2.4074,1.0,9.0,2.0,2.0,0.0,2.0,2.0,1279140.6,1404005.0,554741.5925,37181.0,1965831.0,1253686.8667,1194155.0,571892.3106,37011.0,1965325.0
SatoshiDice.com,19bD4MDarwmzXFFps5DPRcS9MRy25fb8Rv,gambling,17.0,39303.0,59650.4118,200.0,85783.7532,168.0,209850.0,209682.0,557.8824,249.0,462.6751,249.0,1399.0,2019.9412,669.0,1993.0776,669.0,5596.0,3.1765,1.0,3.2219,1.0,9.0,1.9412,2.0,0.2353,1.0,2.0,1641025.4118,1221634.0,1132453.3559,172495.0,3899984.0,1581375.0,1072208.0,1164998.1984,100000.0,3899814.0
SatoshiDice.com,1FwQoVNZc2v6dNorn6uJAvPUNruaSwLwUG,gambling,2276.0,35893.0,81990.74,49517.0,117833.59,764.0,948600.0,947836.0,1134.86,770.5,1234.2209,191.0,9486.0,3774.74,2570.5,4555.6207,764.0,37944.0,3.78,1.0,7.8302,1.0,64.0,11.06,5.0,12.4834,1.0,51.0,550654054.05,11714515.5,1031120277.7617,207015.0,5707581565.0,550572063.31,11672290.0,1031110666.5011,202000.0,5707377037.0
SatoshiDice.com,1CGWvbkjdFch19W1Fu6jd3E3eFNdipaJX3,gambling,1043.0,1256.0,24563.2,30000.0,18593.5384,1920.0,184400.0,182480.0,781.53,407.0,1806.1965,193.0,18292.0,3126.12,1628.0,7224.7859,772.0,73168.0,3.5,2.0,2.7911,1.0,16.0,7.53,2.0,52.2127,1.0,527.0,124703585.99,1202401.5,1106750899.2593,18751.0,11116277468.0,124679022.79,1182401.5,1106750242.9666,16831.0,11116247468.0
SatoshiDice.com,1LkR48ii1nCKc6capzX9Y5ikuzz8uux4mk,gambling,1297.0,3394.0,327486.78,163500.0,395492.4796,54240.0,2567600.0,2513360.0,747.14,373.0,864.4395,191.0,6124.0,2988.56,1492.0,3457.7578,764.0,24496.0,3.08,1.0,4.5884,1.0,41.0,8.26,2.0,18.779,1.0,78.0,142072194.0,5250398.5,391220450.5352,190000.0,2067486727.0,141744707.22,5015411.0,390996740.3636,124024.0,2066757430.0
SatoshiDice.com,12wxaNcTYbHKAaKabaDEKCUkkSEHMh6WTj,gambling,1058.0,10268.0,15818.26,10000.0,15420.8862,10000.0,80000.0,70000.0,684.93,373.0,968.0029,191.0,7460.0,2739.72,1492.0,3872.0118,764.0,29840.0,4.01,2.0,6.5719,1.0,50.0,2.45,2.0,2.9339,1.0,25.0,111128599.21,6609750.0,378269025.1078,14666.0,3212770515.0,111112780.95,6599750.0,378260254.7368,4666.0,3212717985.0
SatoshiDice.com,1NnqJJpw6cWz5kP7CkbaH41Jye6cb2ZWE4,gambling,691.0,1423.0,13700.0,10000.0,12054.4598,10000.0,70000.0,60000.0,603.04,226.0,1151.568,224.0,6566.0,2412.16,904.0,4606.2721,896.0,26264.0,3.56,1.0,7.8094,1.0,44.0,2.0,2.0,0.0,2.0,2.0,380168836.18,428179664.0,169749894.2089,1465826.0,1001060360.0,380155136.18,428169664.0,169754277.1079,1455826.0,1000990360.0
SatoshiDice.com,1C9QzGDGhYdXe3dswDmdbQ5RpCdZKtMhht,gambling,1074.0,17720.0,359448.55,262250.0,498874.5998,31640.0,4164500.0,4132860.0,921.83,697.0,1063.4967,191.0,8329.0,3687.32,2788.0,4253.9869,764.0,33316.0,3.9,3.0,3.7749,1.0,23.0,9.97,2.0,29.9508,1.0,238.0,811733923.54,9164348.0,3862316807.0347,1045803.0,33203598877.0,811374474.99,8912884.0,3862114281.1479,706803.0,33201099419.0
SatoshiDice.com,1LHsSmSDc5oTTSMCnsj3L4ufgaiLCoNiSf,gambling,997.0,14731.0,51274.95,27803.5,47986.9772,4460.0,222300.0,217840.0,899.96,684.5,816.4359,191.0,4802.0,3599.84,2738.0,3265.7435,764.0,19208.0,4.22,2.0,5.3602,1.0,32.0,6.42,2.0,8.1966,1.0,31.0,245843097.03,12231401.5,657558871.4948,33930.0,3853363401.0,245791822.08,12216551.5,657545273.304,23930.0,3853273113.0
