entity,address,label,n_transactions,block_height_max-min,fee_mean,fee_median,fee_std,fee_min,fee_max,fee_max-min,size_mean,size_median,size_std,size_min,size_max,weight_mean,weight_median,weight_std,weight_min,weight_max,vin_sz_mean,vin_sz_median,vin_sz_std,vin_sz_min,vin_sz_max,vout_sz_mean,vout_sz_median,vout_sz_std,vout_sz_min,vout_sz_max,inputsAmount_mean,inputsAmount_median,inputsAmount_std,inputsAmount_min,inputsAmount_max,outputsAmount_mean,outputsAmount_median,outputsAmount_std,outputsAmount_min,outputsAmount_max
BTCCPool,152f1muMCNa7goXYhYAQC61hxEgGacmncB,pool,20391.0,217420.0,2766.17,0.0,10101.5066,0.0,79584.0,79584.0,573.16,268.0,1263.0758,191.0,10781.0,2202.49,964.0,5066.3505,449.0,43124.0,2.62,1.0,6.9337,1.0,60.0,2.61,2.0,9.2972,1.0,95.0,1061348243.52,0.0,1891400264.6048,0.0,6287404365.0,2047442054.23,1750389581.0,1507132456.0958,2297.0,6287404365.0
BTCCPool,176QrADrSemNads37k5K1jbk5Sk1pRm9GC,pool,2771.0,16169.0,64150.5,4100.0,65595.6403,0.0,153300.0,153300.0,4993.05,5226.0,3325.528,223.0,23918.0,19972.2,20904.0,13302.112,892.0,95672.0,14.28,3.0,22.1509,1.0,133.0,72.64,3.0,73.2275,1.0,151.0,3510517226.36,2494000822.5,3329389007.7806,2111234.0,11205464134.0,3510453075.86,2493864247.5,3329417693.822,2111234.0,11205464134.0
BTCCPool,1EGXWhuciWJcSfWwyU65w2GUz4VJuu4vha,pool,2860.0,15369.0,532890.93,19485.0,1022926.2262,0.0,4567161.0,4567161.0,12597.41,5269.5,33912.2646,259.0,223568.0,50389.64,21078.0,135649.0585,1036.0,894272.0,16.65,3.5,25.8079,1.0,151.0,285.21,3.0,1018.6966,1.0,6626.0,10235601454.76,7664021671.5,13860382053.9559,19092507.0,124822810097.0,10235068563.83,7663467997.5,13860290058.8397,19092507.0,124822213615.0
BTCCPool,13trEkNQ5pFJKixmxcHSMUWANZPLzGnpdZ,pool,2729.0,20866.0,38720.7,15820.0,112532.4739,0.0,1047717.0,1047717.0,3495.44,403.0,4640.4559,225.0,21759.0,13981.76,1612.0,18561.8236,900.0,87036.0,18.86,2.0,25.9815,1.0,121.0,3.43,2.0,13.6354,1.0,127.0,4317063054.7,904943078.5,6407962738.3641,603047.0,48934414130.0,4317024334.0,904913078.5,6407969616.6339,559289.0,48934414130.0
BTCCPool,1wRvtCxVZUmvgW3iB5fnt5BGyGvn1HWSe,pool,2440.0,45598.0,279371.85,0.0,447572.9453,0.0,1364339.0,1364339.0,35522.2,12787.5,53117.0665,1291.0,153254.0,142088.8,51150.0,212468.2659,5164.0,613016.0,25.25,4.0,41.7774,1.0,200.0,923.22,69.0,1642.0309,1.0,4566.0,9763439079.23,10049132112.5,7700660499.7745,19092507.0,42300615131.0,9763159707.38,10049132112.5,7700489143.9067,19092507.0,42299441359.0
BTCCPool,1EJbRtWVfGbFyQspabCfcwHZ4EF7xNTAuQ,pool,2855.0,14055.0,98337.42,36496.0,252607.0647,0.0,1400400.0,1400400.0,3601.63,474.5,8389.9238,191.0,35940.0,14406.52,1898.0,33559.6951,764.0,143760.0,18.24,2.0,46.5343,1.0,200.0,7.98,2.0,34.5181,1.0,249.0,2978523314.71,225595289.5,13452152972.2632,1100000.0,131565046310.0,2978424977.29,225564911.0,13452110211.5692,1073360.0,131564901110.0
BTCCPool,1E21BQ8FMRt38P2SpYr86gc3pJEbguViyx,pool,1704.0,52722.0,8700.0,10000.0,7301.3697,0.0,70000.0,70000.0,75200.28,226.0,194697.7225,225.0,832508.0,300801.12,904.0,778790.89,900.0,3330032.0,344.08,1.0,1060.9235,1.0,4625.0,391.1,2.0,1630.9125,1.0,13107.0,8967246066.54,40965374.5,24482092930.078,505186.0,154608819745.0,8967237366.54,40955374.5,24482096072.1382,495186.0,154608819745.0
BTCCPool,14GTyjKnei93Gfx78MycP5PbqHEbn6rnR3,pool,2105.0,29973.0,479928.21,0.0,958589.9351,0.0,7049093.0,7049093.0,26938.31,6243.0,49575.6299,1839.0,223568.0,107753.24,24972.0,198302.5195,7356.0,894272.0,29.02,17.0,36.7766,1.0,178.0,644.71,1.0,1520.5964,1.0,6626.0,9292389200.83,8081538450.5,15120871840.7733,19092507.0,144625614447.0,9291909272.62,8081538450.5,15121062871.5768,19092507.0,144625614447.0
BTCCPool,14oBs7wGacsNCD9PnfjoKMT7GSkTKgjEVT,pool,2232.0,18762.0,1519058.93,440190.0,1909031.8052,0.0,10670985.0,10670985.0,18306.21,15126.5,30678.92,1659.0,223568.0,73224.84,60506.0,122715.6801,6636.0,894272.0,19.44,4.0,26.2264,1.0,151.0,437.82,438.0,942.3013,1.0,6626.0,9632727487.98,8595274653.0,8245229520.1352,19092507.0,34362081085.0,9631208429.05,8592521915.5,8244661759.0089,19092507.0,34362081085.0
BTCCPool,16Uv3suL5JfQQcWczL3kgm3UHpdRczGP21,pool,2346.0,6962.0,396681.74,477625.0,295100.7944,0.0,850637.0,850637.0,3206.32,3553.0,1380.0751,941.0,12788.0,12825.28,14212.0,5520.3002,3764.0,51152.0,5.0,1.0,9.2271,1.0,71.0,69.0,101.0,46.6476,1.0,101.0,27372016194.0,18583454213.5,27949759004.1544,135255876.0,99982435117.0,27371619512.26,18582980270.5,27949668573.3814,134728541.0,99981804929.0
