entity,address,label,n_transactions,block_height_max-min,fee_mean,fee_median,fee_std,fee_min,fee_max,fee_max-min,size_mean,size_median,size_std,size_min,size_max,weight_mean,weight_median,weight_std,weight_min,weight_max,vin_sz_mean,vin_sz_median,vin_sz_std,vin_sz_min,vin_sz_max,vout_sz_mean,vout_sz_median,vout_sz_std,vout_sz_min,vout_sz_max,inputsAmount_mean,inputsAmount_median,inputsAmount_std,inputsAmount_min,inputsAmount_max,outputsAmount_mean,outputsAmount_median,outputsAmount_std,outputsAmount_min,outputsAmount_max
CoinPayments.net,3My3wxMiUp3TpstLU12CNRA1TtaYVRrbVT,services_others,400.0,6363.0,45366.96,18181.5,58014.4913,1406.0,243359.0,241953.0,4725.6,848.5,7618.95,246.0,30480.0,10970.25,2975.0,15837.6389,657.0,64779.0,24.76,1.0,45.9267,1.0,178.0,16.04,21.0,17.2962,1.0,138.0,740868861.3,281952696.5,894199946.9,3382517.0,4122442725.0,740823494.4,281934774.0,894219399.3,3380751.0,4122411729.0
CoinPayments.net,31r5e2zkFrtyTdkgfTmJmkRHYNVcWXyCds,services_others,294.0,28409.0,96783.04,21940.0,137560.0691,321.0,662673.0,662352.0,19853.26,1032.5,24467.4066,193.0,118848.0,42333.94,3803.0,51842.7152,442.0,252303.0,115.52,3.0,143.3901,1.0,695.0,3.03,1.0,7.0872,1.0,50.0,244343468.3,24488804.0,383042939.9,70000.0,1856394521.0,244246685.3,24397715.5,382949966.7,68974.0,1855868974.0
CoinPayments.net,37C4WW3t4YkqehPHTxqUbaEa8o97W66XdW,services_others,10540.0,3594.0,6991.66,4950.0,3756.208,4500.0,22211.0,17711.0,576.03,481.0,465.9153,460.0,2946.0,1796.19,1397.0,1932.0876,1276.0,11724.0,2.01,2.0,0.2998,1.0,3.0,7.18,4.0,15.5925,4.0,86.0,6330114.83,7476931.0,3125492.204,82285.0,10417111.0,6323123.17,7470631.0,3126303.917,60977.0,10406311.0
CoinPayments.net,3HuacYpP8uYthHJzfLTU4n3rLQQFpphMPp,services_others,261.0,4127.0,44081.93,28954.0,36202.5322,9684.0,164063.0,154379.0,3446.81,1303.5,5080.4042,613.0,20558.0,8840.12,4842.0,10189.5211,2122.0,43721.0,15.39,1.0,31.7014,1.0,120.0,25.64,28.5,15.2378,1.0,55.0,1017942114.0,223365752.5,5222454360.0,23786465.0,51680926631.0,1017898032.0,223344279.5,5222453445.0,23681192.0,51680859903.0
CoinPayments.net,32ntuwdU996Wp959SXj7VSk2hBydffLB4y,services_others,13319.0,3149.0,33809.36,20459.0,34515.7496,7470.0,191406.0,183936.0,3169.5,1094.5,4723.9801,487.0,23983.0,7872.24,3935.5,9600.233,1621.0,50986.0,14.95,1.0,29.1367,1.0,140.0,19.34,21.0,14.448,1.0,76.0,979748248.2,340381754.0,2028761672.0,10194124.0,12329759039.0,979714438.8,340363343.0,2028767144.0,10155843.0,12329732079.0
CoinPayments.net,37CMpKfLdhYTMA4rQk5CwpvCtpDQSuK93k,services_others,9.0,108189.0,39833.0,17430.0,41558.6671,1086.0,127812.0,126726.0,3308.5556,673.0,4925.7567,412.0,15946.0,7089.2222,1174.0,10465.4353,886.0,33925.0,18.2222,2.0,29.2984,1.0,93.0,2.8889,3.0,1.8526,1.0,7.0,415144313.3,200000000.0,395851911.9,48305411.0,1347960366.0,415104480.3,199998914.0,395826033.9,48297216.0,1347899305.0
CoinPayments.net,1PtK2QWJUM4bLc3pcx1CKuAeV79EYffzYJ,services_others,17063.0,53712.0,51512.85,52280.0,18965.4262,4500.0,105360.0,100860.0,437.8,438.0,0.6928,436.0,439.0,1751.2,1752.0,2.7713,1744.0,1756.0,2.0,2.0,0.0,2.0,2.0,4.0,4.0,0.0,4.0,4.0,6030212.33,5335848.0,2775336.424,1521032.0,16807956.0,5978699.48,5287781.5,2777043.465,1416139.0,16801656.0
CoinPayments.net,3DmKGgKdGkMrxp6wbAMCrV1SeXrtViguXy,services_others,4406.0,1394.0,33422.59,19164.0,48328.0615,1848.0,243359.0,241511.0,3101.4,1160.0,6312.364,248.0,30480.0,8036.16,4150.0,13041.8449,665.0,64779.0,13.62,1.0,38.2967,1.0,178.0,24.58,23.5,15.7938,1.0,67.0,1358293958.0,273329749.5,5007996970.0,990768.0,48224676140.0,1358260535.0,273312851.0,5007999168.0,988477.0,48224649926.0
CoinPayments.net,384ymo3f9ECwV5z49BX9EEkjJzQpj2ugon,services_others,109.0,145173.0,323420.97,40000.0,1374733.091,570.0,9236615.0,9236045.0,14462.08,610.0,35867.8106,223.0,171408.0,31021.6,1678.0,76103.0274,565.0,364014.0,82.76,1.0,210.255,1.0,1002.0,6.8,2.0,22.0263,1.0,163.0,698174670.2,257226810.5,1189289114.0,5659809.0,6676844000.0,697851249.2,257178616.5,1188815099.0,5619809.0,6676136600.0
CoinPayments.net,168BJqMUthPNXjQdGCbJ9vmFmBGmXh5qow,services_others,5.0,97513.0,80216.8,8100.0,141970.2239,4500.0,363999.0,359499.0,1254.8,438.0,1815.915,257.0,4883.0,3857.0,1752.0,4942.6755,1028.0,13721.0,4.8,2.0,6.6151,1.0,18.0,16.2,4.0,25.4039,3.0,67.0,3616839581.0,2103684.0,7201481695.0,550062.0,18019732365.0,3616759364.0,2095584.0,7201339809.0,531882.0,18019368366.0
